 Name,Team,GP,GS,MIN,W,L,OTL,EGA,GA,GAA,SA,SV,SV%,SO
 Pekka Rinne,NAS,73,72,4169,43,18,8,3,166,2.39,2153,1987,0.923,5
 Marc-Andre Fleury,PIT,67,64,3896,42,17,4,6,153,2.36,1768,1615,0.913,3
 Henrik Lundqvist,NYR,62,62,3754,39,18,5,7,123,1.97,1753,1630,0.93,8
 Mike Smith,PHO,67,67,3903,38,18,10,3,144,2.21,2066,1922,0.93,8
 Miikka Kiprusoff,CGY,70,68,4128,35,22,11,9,162,2.35,2040,1878,0.921,4
 Jimmy Howard,DET,57,57,3360,35,17,4,5,119,2.12,1496,1377,0.92,6
 Jonathan Quick,LOS,69,69,4099,35,21,13,1,133,1.95,1863,1730,0.929,10
 Tim Thomas,FLA,59,55,3352,35,19,1,5,132,2.36,1659,1527,0.92,5
 Antti Niemi,SAN,68,68,3936,34,22,9,4,159,2.42,1865,1706,0.915,6
 Ilya Bryzgalov,PHI,59,57,3415,33,16,7,4,141,2.48,1554,1413,0.909,6
 Craig Anderson,OTT,63,60,3492,33,22,6,2,165,2.83,1917,1752,0.914,3
 Kari Lehtonen,DAL,59,59,3497,32,22,4,6,136,2.33,1739,1603,0.922,4
 Roberto Luongo,VAN,55,54,3162,31,14,8,2,127,2.41,1577,1450,0.919,5
 Martin Brodeur,NJD,59,59,3392,31,21,4,7,136,2.41,1472,1336,0.908,3
 Ryan Miller,BUF,61,60,3536,31,21,7,6,150,2.54,1788,1638,0.916,6
 Corey Crawford,CHI,57,55,3218,30,17,7,1,146,2.72,1507,1361,0.903,0
 Cam Ward,CAR,68,68,3988,30,23,13,6,182,2.74,2143,1961,0.915,5
 Ondrej Pavelec,WPG,68,67,3932,29,28,9,7,191,2.91,2036,1845,0.906,4
 Jonas Hiller,ANA,73,73,4253,29,30,12,8,182,2.57,2021,1839,0.91,4
 Jaroslav Halak,STL,46,46,2747,26,12,7,3,90,1.97,1211,1121,0.926,6
 Semyon Varlamov,COL,53,52,3151,26,24,3,9,136,2.59,1564,1428,0.913,4
 Carey Price,MON,65,65,3944,26,28,11,8,160,2.43,1914,1754,0.916,4
 Tomas Vokoun,PIT,48,46,2583,25,17,2,4,108,2.51,1299,1191,0.917,4
 Mathieu Garon,LOS,48,44,2484,23,16,4,5,118,2.85,1191,1073,0.901,1
 Brian Elliott,STL,38,36,2235,23,10,4,4,58,1.56,972,914,0.94,9
 Jose Theodore,FLA,53,51,3049,22,16,11,3,125,2.46,1502,1377,0.917,3
 Devan Dubnyk,EDM,47,42,2653,20,20,3,6,118,2.67,1380,1262,0.914,2
 Cory Schneider,NJD,33,28,1833,20,8,1,2,60,1.96,945,885,0.937,3
 Evgeni Nabokov,NYI,42,41,2378,19,18,3,10,101,2.55,1172,1071,0.914,2
 Niklas Backstrom,MIN,46,45,2590,19,18,7,3,105,2.43,1299,1194,0.919,4
 Jonas Gustavsson,DET,42,36,2301,17,17,4,2,112,2.92,1147,1035,0.902,4
 Johan Hedberg,NYR,27,23,1591,17,7,2,3,59,2.22,718,659,0.918,4
 Steve Mason,PHI,46,45,2534,16,26,3,4,143,3.39,1355,1212,0.894,1
 Jean-Sebastien Giguere,COL,32,30,1820,15,11,3,4,69,2.28,850,781,0.919,2
 Ray Emery,PHI,34,27,1774,15,9,4,1,83,2.81,834,751,0.9,0
 Scott Clemmensen,FLA,30,25,1566,14,6,6,1,67,2.57,773,706,0.913,1
 James Reimer,TOR,34,34,1879,14,14,4,2,97,3.1,974,877,0.9,3
 Sergei Bobrovsky,COB,29,25,1550,14,10,2,2,78,3.02,769,691,0.899,0
 Dwayne Roloson,TAM,40,31,2099,13,16,3,5,128,3.66,1126,998,0.886,1
 Josh Harding,MIN,34,30,1855,13,12,4,3,81,2.62,981,900,0.917,2
 Michal Neuvirth,WAS,38,30,2020,13,13,5,4,95,2.82,976,881,0.903,3
 Nikolai Khabibulin,CHI,40,40,2261,12,20,7,6,100,2.65,1114,1014,0.91,2
 Martin Biron,NYR,21,20,1220,12,6,2,2,50,2.46,519,469,0.904,2
 Tuukka Rask,BOS,23,22,1289,11,8,3,1,44,2.05,621,577,0.929,3
 Curtis Sanford,COB,36,32,1983,10,18,4,6,86,2.6,971,885,0.911,1
 Thomas Greiss,PHO,19,14,1043,9,7,1,2,40,2.3,472,432,0.915,0
 Al Montoya,WPG,31,26,1720,9,11,5,3,89,3.11,832,743,0.893,0
 Richard Bachman,EDM,18,15,933,8,5,1,0,43,2.77,477,434,0.91,1
 Chris Mason,NAS,20,15,995,8,7,1,0,43,2.59,422,379,0.898,2
 Jhonas Enroth,BUF,26,22,1399,8,11,4,3,63,2.7,756,693,0.917,1
 Joey MacDonald,CGY,14,12,806,8,5,1,1,29,2.16,330,301,0.912,0
 Brent Johnson,PIT,16,14,811,6,7,2,1,42,3.11,359,317,0.883,0
 Peter Budaj,MON,17,17,1037,5,7,5,2,44,2.55,508,464,0.913,0
 Jonathan Bernier,TOR,16,13,890,5,6,2,1,35,2.36,383,348,0.909,1
 Ty Conklin,DET,15,13,805,5,6,1,2,44,3.28,378,334,0.884,1
 Anders Lindback,TAM,16,10,792,5,8,0,4,32,2.42,364,332,0.912,0
 Ben Scrivens,LOS,12,11,672,4,5,2,4,35,3.13,359,324,0.903,0
 Braden Holtby,WAS,7,6,361,4,2,1,0,15,2.5,192,177,0.922,1
 Ben Bishop,TAM,10,9,532,3,3,2,0,22,2.48,243,221,0.909,0
 Robin Lehner,OTT,5,5,299,3,2,0,0,10,2.01,154,144,0.935,1
 Matt Hackett,BUF,12,7,556,3,6,0,3,22,2.38,282,260,0.922,0
 Brad Thiessen,PIT,5,4,258,3,1,0,0,16,3.72,113,97,0.858,0
 Jeff Deslauriers,MIN,4,4,241,3,1,0,0,11,2.74,113,102,0.903,0
 Allen York,NAS,11,5,417,3,2,0,2,16,2.3,199,183,0.92,0
 Jason LaBarbera,EDM,19,14,1015,3,9,3,2,43,2.54,486,443,0.912,0
 Rick DiPietro,NYI,8,6,354,3,2,3,1,22,3.73,177,155,0.876,0
 Alex Auld,OTT,14,8,645,2,4,2,1,36,3.35,310,274,0.884,0
 Jacob Markstrom,FLA,7,6,383,2,4,1,3,17,2.66,222,205,0.923,0
 Kevin Poulin,NYI,6,6,296,2,4,0,0,15,3.04,162,147,0.907,0
 Marty Turco,BOS,5,4,261,2,2,0,0,16,3.68,110,94,0.855,0
 Justin Peters,CAR,7,6,387,2,3,2,0,16,2.48,233,217,0.931,1
 Andrew Raycroft,DAL,10,8,529,2,8,0,2,31,3.51,303,272,0.898,0
 Anton Khudobin,CAR,1,1,60,1,0,0,0,1,1,45,44,0.978,0
 Dustin Tokarski,MON,5,5,244,1,3,1,1,14,3.45,116,102,0.879,0
 Anders Nilsson,NYI,4,3,218,1,2,0,0,10,2.75,112,102,0.911,1
 Dan Ellis,DAL,10,5,419,1,5,0,1,19,2.72,214,195,0.911,0
 Leland Irving,CGY,7,7,394,1,3,3,0,21,3.19,239,218,0.912,0
 Sebastien Caron,NAS,3,2,135,1,1,0,0,7,3.12,57,50,0.877,0
 Curtis McElhinney,COB,2,1,72,1,0,0,0,2,1.67,36,34,0.944,0
 Brian Boucher,PHI,10,8,546,1,6,1,1,31,3.4,260,229,0.881,0
 Iiro Tarkki,ANA,1,0,41,1,0,0,0,3,4.41,10,7,0.7,0
 Henrik Karlsson,CHI,9,7,454,1,4,2,1,24,3.17,239,215,0.9,0
 Brian Foster,FLA,1,0,5,0,0,0,0,0,0,1,1,1,0
 Shawn Hunwick,COB,1,0,3,0,0,0,0,0,0,0,0,N/A,0
 Jussi Rynnas,TOR,2,1,99,0,1,0,0,7,4.25,40,33,0.825,0
 Mike Murphy,CAR,2,0,36,0,1,0,1,0,0,9,9,1,0
 Peter Mannino,WPG,1,0,20,0,0,0,1,0,0,4,4,1,0
 Drew MacIntyre,TOR,2,0,43,0,0,0,0,1,1.38,18,17,0.944,0
 Yann Danis,PHI,1,0,32,0,0,0,0,2,3.7,12,10,0.833,0
