 Name,Team,GP,G,A,Pts,+/-,PIM,Hits,BkS,FW,FL,FO%,PPG,PPA,SHG,SHA,GW,SOG,Pct
 Brett Clark,FLA,82,2,13,15,-26,20,118,199,0,0,N/A,0,2,0,0,0,61,0.033
 Nate Thompson,TAM,68,9,6,15,-23,21,107,56,293,299,0.495,0,0,0,0,1,85,0.106
 Chris Butler,CGY,68,2,13,15,-9,34,70,115,0,0,N/A,0,3,0,0,0,62,0.032
 Jordan Caron,BOS,48,7,8,15,0,14,64,15,1,1,0.5,0,0,0,0,0,57,0.123
 Pavel Kubina,PHI,69,3,12,15,-2,74,130,119,0,0,N/A,0,0,0,0,1,75,0.04
 Jamal Mayers,CHI,81,6,9,15,-4,91,102,25,313,245,0.561,0,1,0,0,1,70,0.086
 Matt Beleskey,ANA,70,4,11,15,-2,72,104,20,11,15,0.423,0,1,0,0,0,75,0.053
 Gilbert Brule,PHO,33,5,9,14,7,11,55,13,8,13,0.381,1,0,0,0,0,56,0.089
 Derek MacKenzie,COB,66,7,7,14,4,40,189,19,234,195,0.545,1,0,2,1,2,61,0.115
 Mark Stuart,WPG,80,3,11,14,-4,98,198,182,0,0,N/A,0,0,1,0,1,60,0.05
 Matt Martin,NYI,80,7,7,14,-17,121,374,41,10,13,0.435,0,0,0,2,1,130,0.054
 T.J. Brodie,CGY,54,2,12,14,3,14,43,38,0,0,N/A,1,5,0,0,2,44,0.045
 Cam Atkinson,COB,27,7,7,14,1,14,23,17,0,1,0,1,1,0,0,0,66,0.106
 Joe Vitale,PIT,68,4,10,14,-5,56,106,36,403,320,0.557,0,0,0,1,1,70,0.057
 Steve Montador,CHI,52,5,9,14,4,45,49,46,0,0,N/A,2,4,0,0,1,57,0.088
 Sheldon Brookbank,CHI,80,3,11,14,11,72,120,110,0,0,N/A,0,0,0,1,1,49,0.061
 Kurtis Foster,PHI,51,4,10,14,-13,35,46,35,0,0,N/A,2,9,0,0,0,85,0.047
 Chuck Kobasew,PIT,58,7,7,14,-10,51,62,20,7,15,0.318,0,1,1,0,2,65,0.108
 Dwight King,LOS,27,5,9,14,3,10,37,5,2,1,0.667,0,2,0,0,1,42,0.119
 Bryan Allen,ANA,82,1,13,14,-1,76,111,188,0,0,N/A,0,0,0,1,1,87,0.011
 Richard Park,PIT,54,7,7,14,-1,12,28,18,221,176,0.557,0,2,1,0,4,44,0.159
 Jason Demers,SAN,57,4,9,13,-8,22,60,58,0,0,N/A,2,3,0,0,1,73,0.055
 Roman Hamrlik,NYR,68,2,11,13,11,34,69,149,0,0,N/A,0,0,0,0,1,58,0.034
 Bruno Gervais,PHI,50,6,7,13,-4,8,42,63,0,0,N/A,1,1,0,0,0,57,0.105
 Ben Eager,EDM,63,8,5,13,-1,107,73,17,0,2,0,0,0,0,0,3,69,0.116
 Darroll Powe,NYR,82,6,7,13,-20,57,151,91,46,59,0.438,0,0,0,0,1,109,0.055
 Drayson Bowman,CAR,37,6,7,13,2,4,54,10,0,0,N/A,0,1,0,0,0,70,0.086
 Andrej Sekera,CAR,69,3,10,13,3,18,56,93,0,1,0,1,0,0,0,0,88,0.034
 Antti Miettinen,WPG,45,5,8,13,-5,0,38,11,9,12,0.429,1,3,0,0,0,58,0.086
 Ed Jovanovski,FLA,66,3,10,13,-11,31,71,73,0,0,N/A,1,3,0,0,0,58,0.052
 Barret Jackman,STL,81,1,12,13,20,57,106,153,0,0,N/A,0,0,0,0,0,82,0.012
 Toni Lydman,ANA,74,0,13,13,0,46,134,153,0,0,N/A,0,0,0,1,0,46,0
 Michal Rozsival,CHI,54,1,12,13,8,34,62,91,0,0,N/A,0,0,0,0,0,49,0.02
 Shawn Thornton,BOS,81,5,8,13,-7,154,91,12,16,22,0.421,0,0,1,0,0,114,0.044
 Jakub Kindl,DET,55,1,12,13,7,25,61,32,0,0,N/A,0,1,0,0,0,69,0.014
 Dave Steckel,MIN,76,8,5,13,-14,10,170,66,643,465,0.58,1,0,2,0,0,79,0.101
 Stefan Elliott,COL,39,4,9,13,2,8,3,31,0,0,N/A,0,2,0,0,1,84,0.048
 Zbynek Michalek,PHO,62,2,11,13,0,24,47,144,0,0,N/A,0,1,0,1,0,77,0.026
 Rostislav Klesla,PHO,65,3,10,13,13,54,112,150,1,1,0.5,0,0,0,0,0,87,0.034
 Devante Smith-Pelly,ANA,49,7,6,13,-7,16,104,9,6,15,0.286,1,1,1,0,1,66,0.106
 Marcus Foligno,BUF,14,6,7,13,6,9,44,11,0,3,0,2,1,0,0,1,23,0.261
 Hal Gill,PHI,76,1,12,13,-3,37,75,161,0,0,N/A,0,0,0,2,0,49,0.02
 Ryan Shannon,TAM,45,4,8,12,-11,10,22,15,22,18,0.55,1,2,0,0,0,46,0.087
 Jason Blake,ANA,45,7,5,12,-4,6,41,17,0,1,0,2,1,0,0,3,109,0.064
 Patrick Dwyer,CAR,73,5,7,12,0,23,129,62,15,14,0.517,0,1,2,0,0,120,0.042
 Erik Christensen,MIN,49,7,5,12,-13,8,26,4,159,143,0.526,3,1,0,0,1,44,0.159
 Kyle Clifford,LOS,81,5,7,12,-5,123,179,9,1,7,0.125,0,0,0,0,2,88,0.057
 Scott Hannan,SAN,78,2,10,12,-10,38,60,126,1,0,1,0,0,0,1,0,49,0.041
 Chris Pronger,PHI,13,1,11,12,1,10,15,27,0,0,N/A,1,7,0,0,0,23,0.043
 Tom Kostopoulos,PIT,81,4,8,12,-15,57,124,48,25,59,0.298,1,0,1,0,1,91,0.044
 Kris Russell,CGY,55,6,6,12,12,25,61,78,0,0,N/A,0,1,0,0,1,56,0.107
 Nate Prosser,MIN,51,1,11,12,-17,57,34,124,0,0,N/A,0,3,0,0,0,32,0.031
 Wojtek Wolski,WAS,31,4,8,12,-5,2,34,5,5,5,0.5,0,1,0,0,0,50,0.08
 Alec Martinez,LOS,51,6,6,12,-1,8,51,48,0,1,0,3,4,0,0,0,78,0.077
 Marco Scandella,MIN,63,3,9,12,-22,19,46,106,0,0,N/A,1,5,0,0,1,77,0.039
 Mathieu Darche,NJD,61,5,7,12,-4,18,79,45,6,13,0.316,0,0,2,2,0,77,0.065
 Cody McLeod,COL,75,6,5,11,0,164,123,13,2,1,0.667,0,0,0,0,0,62,0.097
 Derek Morris,PHO,59,2,9,11,-12,38,95,78,0,0,N/A,0,1,0,0,0,72,0.028
 Philip Larsen,EDM,55,3,8,11,11,16,89,73,0,0,N/A,1,0,0,0,0,69,0.043
 Ryan Ellis,NAS,32,3,8,11,5,4,30,37,0,0,N/A,2,2,0,0,2,34,0.088
 Justin Braun,SAN,66,2,9,11,-2,23,46,66,0,0,N/A,1,2,0,0,0,113,0.018
 Roman Horak,CGY,61,3,8,11,3,14,28,20,183,258,0.415,0,0,0,0,1,53,0.057
 Brendan Morrison,CHI,39,4,7,11,-5,12,8,21,195,199,0.495,0,2,0,0,0,43,0.093
 J.T. Wyman,COL,40,2,9,11,1,8,33,15,22,35,0.386,0,0,0,0,1,31,0.065
 Kaspars Daugavins,BOS,65,5,6,11,-2,12,58,33,23,37,0.383,0,1,0,1,1,77,0.065
 Mikael Backlund,CGY,41,4,7,11,-13,16,25,19,225,271,0.454,2,1,0,0,2,85,0.047
 Mike Santorelli,VAN,60,9,2,11,-10,18,49,17,176,213,0.452,2,1,0,0,1,117,0.077
 David Schlemko,PHO,46,1,10,11,7,10,52,88,0,0,N/A,0,0,0,0,0,58,0.017
 Derek Smith,CGY,47,2,9,11,-1,12,27,55,0,0,N/A,0,4,0,0,1,44,0.045
 Scott Gomez,FLA,38,2,9,11,-9,14,11,12,165,168,0.496,2,1,0,0,1,59,0.034
 Nicklas Grossmann,PHI,74,0,11,11,5,36,164,152,0,0,N/A,0,0,0,0,0,56,0
 Anton Volchenkov,NJD,72,2,9,11,3,34,177,125,0,0,N/A,0,0,0,1,1,63,0.032
 Roman Polak,STL,77,0,11,11,6,57,173,141,0,0,N/A,0,0,0,0,0,88,0
 Francis Bouillon,MON,66,4,7,11,-4,33,103,65,0,0,N/A,0,0,0,0,2,38,0.105
 Jonathan Ericsson,DET,69,1,10,11,16,47,128,43,0,0,N/A,0,0,0,0,0,63,0.016
 Keith Aucoin,STL,27,3,8,11,4,0,10,7,57,64,0.471,0,0,0,0,1,21,0.143
 Chris Campoli,MON,43,2,9,11,-3,8,43,59,0,0,N/A,0,3,0,0,0,43,0.047
 Milan Jurcina,NYI,65,3,8,11,-34,30,173,116,0,0,N/A,2,1,0,0,0,127,0.024
 Dan Carcillo,LOS,28,2,9,11,10,82,76,9,2,2,0.5,0,0,0,0,0,27,0.074
 Chris Thorburn,WPG,72,4,7,11,-6,83,151,46,39,28,0.582,0,0,0,0,0,69,0.058
 Patrick Kaleta,BUF,63,5,5,10,-5,116,139,46,10,9,0.526,0,0,0,0,1,69,0.072
 Ron Hainsey,CAR,56,0,10,10,9,23,33,133,0,0,N/A,0,1,0,0,0,57,0
 Cory Emmerton,DET,71,6,4,10,1,14,37,31,151,162,0.482,0,1,0,0,0,63,0.095
 Tomas Vincour,COL,47,4,6,10,-2,2,52,16,1,8,0.111,0,0,0,0,1,65,0.062
 Zack Kassian,VAN,44,4,6,10,-2,51,79,2,11,12,0.478,0,1,0,0,0,54,0.074
 Brad Winchester,CHI,67,6,4,10,-5,88,78,13,20,13,0.606,0,0,0,0,0,72,0.083
 Louis Leblanc,MON,42,5,5,10,3,28,68,18,28,36,0.438,0,0,0,0,0,58,0.086
 Jack Skille,COB,46,4,6,10,-9,28,99,16,8,8,0.5,0,0,1,0,1,76,0.053
 Adam McQuaid,BOS,72,2,8,10,16,99,104,101,0,0,N/A,0,0,0,0,0,63,0.032
 Aaron Rome,DAL,43,4,6,10,-4,46,64,62,0,0,N/A,1,1,0,0,1,42,0.095
 David Savard,COB,31,2,8,10,0,16,30,15,0,0,N/A,1,3,0,0,0,34,0.059
 Andy Sutton,EDM,52,3,7,10,5,80,112,95,0,0,N/A,0,0,0,0,1,41,0.073
 Anton Babchuk,CGY,32,2,8,10,2,6,17,48,0,0,N/A,1,2,0,0,1,48,0.042
 Guillaume Latendresse,PHO,16,5,4,9,6,20,37,3,2,2,0.5,1,0,0,0,1,36,0.139
 Matt Hendricks,NAS,78,4,5,9,-6,95,219,52,142,123,0.536,0,0,0,1,0,97,0.041
 Rob Scuderi,PIT,82,1,8,9,-7,16,61,116,0,0,N/A,0,0,0,0,0,63,0.016
 Tommy Wingels,SAN,33,3,6,9,-1,18,102,23,7,10,0.412,0,1,0,0,0,71,0.042
 Tim Wallace,CAR,49,3,6,9,-3,16,104,11,8,12,0.4,0,0,0,0,1,26,0.115
 Jimmy Hayes,CHI,31,5,4,9,-3,16,50,6,5,5,0.5,1,1,0,0,0,41,0.122
 Alexander Sulzer,BUF,27,3,6,9,8,8,17,38,0,0,N/A,0,1,0,0,0,33,0.091
 Stu Bickel,NYR,51,0,9,9,2,108,68,52,1,0,1,0,0,0,1,0,22,0
 Lennart Petrell,EDM,60,4,5,9,-10,45,122,47,7,15,0.318,0,0,1,1,0,36,0.111
 Justin Falk,NYR,47,1,8,9,-13,54,78,78,0,0,N/A,1,0,0,0,0,46,0.022
 Bryce Salvador,NJD,82,0,9,9,18,66,106,107,0,0,N/A,0,0,0,1,0,52,0
 David Moss,PHO,32,2,7,9,-3,12,43,24,93,127,0.423,0,0,0,0,0,82,0.024
 Jacob Josefson,NJD,41,2,7,9,10,6,16,13,181,173,0.511,0,0,0,0,0,37,0.054
 Zac Rinaldo,PHI,66,2,7,9,-1,232,175,19,6,3,0.667,0,0,0,0,0,54,0.037
 Spencer Machacek,COB,13,2,7,9,8,7,24,1,1,0,1,0,0,0,0,0,12,0.167
 Adrian Aucoin,COB,64,2,7,9,14,42,97,67,0,0,N/A,1,0,0,0,0,92,0.022
 Eric Wellwood,PHI,24,5,4,9,12,2,16,12,18,17,0.514,0,0,0,1,1,36,0.139
 Benn Ferriero,VAN,35,7,1,8,0,8,43,13,3,9,0.25,0,0,0,0,4,68,0.103
 Colin Fraser,LOS,67,2,6,8,-2,67,149,25,175,195,0.473,0,0,0,0,0,54,0.037
 Ryan Carter,NJD,72,4,4,8,-13,90,114,25,215,217,0.498,0,0,0,0,0,50,0.08
 Blair Jones,CGY,43,3,5,8,-1,18,49,29,128,174,0.424,0,1,0,0,1,58,0.052
 Erik Gudbranson,FLA,72,2,6,8,-19,78,154,73,0,0,N/A,0,1,0,0,0,76,0.026
 Greg Zanon,COL,56,3,5,8,3,18,116,136,0,0,N/A,0,0,0,0,2,41,0.073
 David Ullstrom,NYI,29,4,4,8,-2,6,32,8,6,4,0.6,1,0,0,0,1,40,0.1
 Scott Nichol,STL,80,3,5,8,-5,83,92,29,259,191,0.576,0,0,0,1,0,67,0.045
 Brayden McNabb,BUF,25,1,7,8,-1,15,49,30,0,0,N/A,1,0,0,0,0,23,0.043
 Colton Gillies,BUF,75,2,6,8,-9,35,161,46,7,10,0.412,0,0,0,0,0,48,0.042
 Matt Bradley,FLA,45,3,5,8,-3,31,134,11,12,16,0.429,0,0,0,0,0,35,0.086
 Dale Weise,VAN,68,4,4,8,-1,81,118,23,0,4,0,0,0,0,0,0,48,0.083
 Cody Eakin,DAL,30,4,4,8,2,4,15,7,21,19,0.525,0,0,0,0,0,31,0.129
 Matt Ellis,BUF,60,3,5,8,-3,25,34,17,117,127,0.48,0,0,0,0,1,85,0.035
 Jochen Hecht,BUF,22,4,4,8,1,6,14,9,136,164,0.453,0,0,1,0,0,40,0.1
 Jesse Winchester,FLA,32,2,6,8,2,22,51,9,126,109,0.536,0,0,1,0,0,52,0.038
 Brad Richardson,VAN,59,5,3,8,-6,30,65,15,33,23,0.589,0,0,1,0,0,98,0.051
 Corey Tropp,BUF,34,3,5,8,0,20,47,20,0,5,0,0,0,0,0,1,32,0.094
 Steve Staios,NYI,65,0,8,8,-19,53,55,140,1,0,1,0,0,0,0,0,67,0
 Andreas Nodl,CAR,60,3,5,8,-5,8,68,17,3,5,0.375,0,0,0,0,0,66,0.045
 Magnus Paajarvi,STL,41,2,6,8,-7,4,18,8,2,5,0.286,0,2,0,0,0,79,0.025
 Nick Schultz,EDM,82,1,6,7,-12,40,83,165,0,0,N/A,1,0,0,0,0,51,0.02
 Trent Hunter,LOS,38,2,5,7,-4,8,72,6,4,20,0.167,0,1,0,0,1,51,0.039
 Casey Wellman,WAS,14,2,5,7,-4,0,6,7,6,3,0.667,0,1,0,0,1,25,0.08
 Tim Jackman,CGY,75,1,6,7,-21,94,160,16,15,19,0.441,0,0,0,0,0,103,0.01
 Cal O'Reilly,PIT,33,2,5,7,-11,4,5,10,120,148,0.448,1,1,0,0,0,17,0.118
 Alexei Emelin,MON,67,3,4,7,-18,30,236,88,0,0,N/A,0,0,1,1,0,62,0.048
 Ryan O'Byrne,TOR,74,1,6,7,-5,57,180,141,0,0,N/A,0,0,0,0,0,42,0.024
 Brendan Smith,DET,14,1,6,7,3,13,17,8,0,0,N/A,0,1,0,0,0,13,0.077
 Andrei Loktionov,NJD,39,3,4,7,-4,2,7,6,64,85,0.43,1,0,0,0,0,60,0.05
 David Rundblad,PHO,30,1,6,7,-12,6,34,28,0,0,N/A,0,2,0,0,0,34,0.029
 Gustav Nyquist,DET,18,1,6,7,2,2,4,0,0,0,N/A,0,0,0,0,0,19,0.053
 Brandon Yip,PHO,35,3,4,7,1,28,51,10,2,5,0.286,0,0,0,0,0,41,0.073
 Jonathon Blum,MIN,33,3,4,7,-14,6,17,71,0,0,N/A,0,0,0,0,1,25,0.12
 John Moore,NYR,67,2,5,7,-23,8,47,70,0,0,N/A,0,0,0,1,0,64,0.031
 Nazem Kadri,TOR,21,5,2,7,2,8,25,5,4,11,0.267,1,0,0,0,1,28,0.179
 Keith Ballard,MIN,47,1,6,7,0,64,61,63,0,0,N/A,0,0,0,0,0,41,0.024
 Marc-Andre Bourdon,PHI,45,4,3,7,4,52,73,77,0,0,N/A,0,0,0,0,2,45,0.089
 Kevin Porter,BUF,35,4,3,7,-2,17,36,8,14,32,0.304,0,0,0,0,0,32,0.125
 Sean O'Donnell,CHI,51,0,7,7,-6,23,46,44,0,0,N/A,0,0,0,0,0,30,0
 Chris Porter,STL,47,4,3,7,-1,11,124,4,8,11,0.421,0,0,0,0,1,61,0.066
 Mark Flood,CAR,33,3,4,7,-1,10,10,43,0,0,N/A,1,1,0,0,1,30,0.1
 Kent Huskins,PHI,25,2,5,7,9,10,6,35,0,0,N/A,0,0,0,0,0,16,0.125
 Nick Palmieri,NYR,38,4,3,7,-10,14,39,7,2,9,0.182,0,0,0,0,0,55,0.073
 Kyle Palmieri,ANA,18,4,3,7,3,6,20,6,2,0,1,0,0,0,0,0,34,0.118
 Jake Dowell,MIN,52,2,5,7,-3,53,80,11,94,103,0.477,0,0,0,0,0,39,0.051
 Adam Hall,PHI,57,2,5,7,-11,17,89,30,276,188,0.595,0,0,0,0,1,63,0.032
 Marc Methot,OTT,46,1,6,7,-11,24,106,52,0,0,N/A,0,0,0,0,0,42,0.024
 Mike Green,WAS,32,3,4,7,5,12,27,44,0,0,N/A,3,1,0,0,1,64,0.047
 Dylan Reese,PIT,28,1,6,7,0,11,22,25,0,0,N/A,0,0,0,0,0,26,0.038
 Matt Taormina,TAM,30,1,6,7,6,4,18,36,0,0,N/A,0,1,0,0,0,33,0.03
 Trevor Lewis,LOS,72,3,4,7,-3,26,117,25,87,112,0.437,0,0,0,0,1,103,0.029
 Alexander Radulov,NAS,9,3,4,7,3,4,5,5,0,0,N/A,0,1,0,0,0,21,0.143
 Mark Olver,COL,24,4,3,7,0,15,43,9,33,58,0.363,0,0,0,0,1,25,0.16
 Petteri Nokelainen,MON,56,3,4,7,-6,37,46,10,165,144,0.534,0,0,0,0,1,37,0.081
 Cory Sarich,COL,62,1,6,7,1,66,144,60,0,0,N/A,0,0,0,0,0,36,0.028
 Marty Reasoner,NYI,61,1,5,6,-25,34,43,31,303,269,0.53,0,0,0,0,0,69,0.014
 Henrik Tallinder,BUF,39,0,6,6,-11,16,32,41,0,0,N/A,0,1,0,0,0,43,0
 Andrew Ebbett,PIT,18,5,1,6,2,6,15,9,15,13,0.536,1,0,0,0,2,27,0.185
 Dustin Jeffrey,PIT,26,4,2,6,-4,2,19,8,109,116,0.484,0,0,1,0,0,33,0.121
 Harry Zolnierczyk,PIT,37,3,3,6,-11,35,67,14,12,16,0.429,0,0,0,0,0,49,0.061
 David van der Gulik,COL,25,1,5,6,3,2,32,11,11,27,0.289,0,0,0,0,0,20,0.05
 Jeff Schultz,LOS,54,1,5,6,-2,12,49,58,0,0,N/A,0,0,0,0,0,22,0.045
 Ben Maxwell,WPG,15,1,5,6,4,2,11,6,26,33,0.441,0,0,0,0,0,10,0.1
 Jerred Smithson,EDM,69,1,5,6,-5,34,128,43,362,283,0.561,0,0,0,1,0,37,0.027
 Matt Hunwick,COL,33,3,3,6,-3,8,24,30,0,1,0,0,0,0,0,0,40,0.075
 Jim O'Brien,OTT,28,3,3,6,6,4,28,9,121,135,0.473,0,0,0,0,1,37,0.081
 Ian Cole,STL,26,1,5,6,7,22,16,27,0,0,N/A,0,0,0,0,0,18,0.056
 Mattias Tedenby,NJD,43,1,5,6,-15,16,25,1,1,2,0.333,0,0,0,0,0,46,0.022
 Jack Hillen,WAS,55,2,4,6,6,20,42,65,0,0,N/A,0,0,0,0,0,51,0.039
 Anton Lander,EDM,56,2,4,6,-8,12,32,12,149,195,0.433,0,0,1,0,0,54,0.037
 Steve Bernier,NJD,32,1,5,6,6,16,61,13,3,12,0.2,0,0,0,0,0,23,0.043
 Andreas Lilja,PHI,46,0,6,6,9,34,61,72,0,0,N/A,0,0,0,0,0,35,0
 Travis Zajac,NJD,15,2,4,6,-3,4,11,3,118,86,0.578,1,0,0,0,1,25,0.08
 Jeff Woywitka,STL,27,1,5,6,2,8,18,22,0,0,N/A,0,0,0,0,0,13,0.077
 Scottie Upshall,FLA,26,2,3,5,-3,29,44,2,3,3,0.5,1,0,0,0,1,53,0.038
 Trevor Smith,TOR,16,2,3,5,2,4,19,7,34,49,0.41,0,0,0,1,0,17,0.118
 Robyn Regehr,LOS,76,1,4,5,-12,56,172,112,0,0,N/A,0,0,0,0,0,49,0.02
 Steve Eminger,NYR,42,2,3,5,0,28,63,53,0,0,N/A,0,1,0,1,0,19,0.105
 Marco Sturm,FLA,48,3,2,5,-13,25,49,14,9,4,0.692,0,0,0,0,1,65,0.046
 Aaron Palushaj,CAR,38,1,4,5,1,8,28,11,0,4,0,0,0,0,0,0,37,0.027
 Warren Peters,PIT,58,1,4,5,-15,54,70,34,255,210,0.548,0,0,0,0,0,54,0.019
 Mike Rupp,MIN,60,4,1,5,-1,97,103,13,19,15,0.559,0,0,0,0,2,31,0.129
 Toby Petersen,DAL,39,2,3,5,-7,6,34,14,3,4,0.429,0,1,0,0,0,44,0.045
 Marc Staal,NYR,46,2,3,5,-7,16,55,68,0,0,N/A,1,1,0,1,0,61,0.033
 Joakim Lindstrom,COL,16,2,3,5,-9,0,1,6,2,3,0.4,1,0,0,0,0,22,0.091
 Andrew Gordon,WPG,37,2,3,5,-10,6,49,17,0,5,0,0,0,0,0,0,38,0.053
 Darryl Boyce,COB,37,1,4,5,-8,35,46,14,84,79,0.515,0,0,0,0,1,25,0.04
 Ben Lovejoy,ANA,34,1,4,5,3,13,30,37,0,0,N/A,0,0,0,0,0,48,0.021
 Paul Byron,CGY,22,3,2,5,3,2,26,2,8,14,0.364,0,0,0,0,1,13,0.231
 Clayton Stoner,MIN,51,1,4,5,3,62,72,80,0,0,N/A,0,0,0,0,0,47,0.021
 Krys Barch,NJD,51,2,3,5,0,114,67,10,2,5,0.286,0,0,0,0,0,24,0.083
 Keaton Ellerby,LOS,40,0,5,5,-3,10,80,75,0,0,N/A,0,0,0,0,0,45,0
 Jerome Samson,WPG,16,2,3,5,-3,8,10,5,0,0,N/A,1,1,0,0,0,31,0.065
 Zenon Konopka,MIN,55,3,2,5,-4,193,54,18,232,162,0.589,1,0,0,0,1,34,0.088
 Steven Kampfer,MIN,23,2,3,5,-1,6,19,31,0,0,N/A,0,0,0,0,0,20,0.1
 Erik Gustafsson,PHI,30,1,4,5,12,2,9,35,0,0,N/A,0,0,0,1,0,18,0.056
 Dana Tyrell,TAM,26,0,5,5,-5,6,20,15,0,3,0,0,0,0,0,0,23,0
 Michal Repik,FLA,17,2,3,5,-3,6,24,1,3,2,0.6,1,2,0,0,0,35,0.057
 Stephane Da Costa,OTT,22,3,2,5,-9,8,14,13,65,112,0.367,0,0,0,0,0,31,0.097
 Joe Colborne,TOR,10,1,4,5,2,4,20,8,28,50,0.359,0,0,0,0,0,7,0.143
 Jay Beagle,WAS,41,4,1,5,-2,23,66,23,124,91,0.577,0,0,0,0,0,49,0.082
 Mike Weber,BUF,51,1,4,5,-19,64,123,90,0,0,N/A,0,0,0,0,0,51,0.02
 Mike Komisarek,CAR,45,1,4,5,-13,41,104,80,0,0,N/A,0,0,0,0,0,34,0.029
 Blake Geoffrion,MON,35,2,3,5,0,27,40,13,68,77,0.469,0,0,0,0,0,29,0.069
 Teemu Hartikainen,EDM,17,2,3,5,1,6,36,11,4,8,0.333,0,0,0,0,1,24,0.083
 Alexandre Picard,PIT,17,0,4,4,4,4,12,14,0,0,N/A,0,0,0,0,0,10,0
 George Parros,MON,46,1,3,4,1,85,57,16,0,0,N/A,0,0,0,0,0,17,0.059
 Evgeny Grachev,STL,26,1,3,4,-4,2,23,10,1,4,0.2,0,0,0,0,1,14,0.071
 Patrick O'Sullivan,PHO,23,2,2,4,-4,2,7,4,5,4,0.556,0,1,0,0,0,34,0.059
 Brandon McMillan,PHO,25,0,4,4,-10,20,21,13,23,44,0.343,0,0,0,0,0,26,0
 Colin White,STL,54,1,3,4,-5,21,65,94,0,0,N/A,0,0,0,0,0,33,0.03
 Jordan Nolan,LOS,26,2,2,4,2,28,59,4,1,0,1,0,0,0,0,1,19,0.105
 Mike Brown,EDM,50,2,2,4,-8,74,120,24,0,1,0,0,0,0,1,0,56,0.036
 Jim Vandermeer,VAN,25,1,3,4,3,33,14,10,0,0,N/A,0,0,0,0,0,19,0.053
