PLAYER,POS,TEAM,GP,G,A,PTS,+/-,PIM,SOG,PCT,WG,TOI,PPG,PPA,SHG,SHA,SG,SA
Vincent Lecavalier,C,PHI,2,1,0,1,-2,0,4,25,0,38:26:00,1,0,0,0,0,1
Luke Schenn,D,PHI,2,1,0,1,0,0,4,25,0,21:04,0,0,0,0,0,0
Maxime Talbot,C,PHI,2,1,0,1,1,0,3,33.3,0,36:31:00,0,0,0,0,0,1
Mikkel Boedker,RW,PHO,1,1,0,1,0,0,3,33.3,0,16:13,1,0,0,0,0,0
Gilbert Brule,C,PHO,2,1,0,1,-4,4,2,50,0,29:22:00,1,0,0,0,0,0
Rob Klinkhammer,LW,PHO,2,1,0,1,-1,2,1,100,1,33:03:00,1,0,0,0,0,0
Jordan Szwarz,RW,PHO,1,1,0,1,0,0,2,50,0,12:09,0,0,1,0,0,0
Sidney Crosby,C,PIT,2,1,0,1,-1,4,8,12.5,0,43:51:00,0,0,0,0,0,1
James Neal,LW,PIT,1,1,0,1,0,0,8,12.5,0,22:00,0,0,0,0,0,0
Derrick Pouliot,D,PIT,2,1,0,1,-1,2,2,50,0,45:16:00,1,0,0,0,0,0
Brandon Sutter,C,PIT,2,1,0,1,-1,0,5,20,0,37:26:00,0,0,0,0,0,0
Joe Vitale,C,PIT,2,1,0,1,-2,9,5,20,0,26:24:00,0,0,0,0,0,0
John McCarthy,LW,SJ,1,1,0,1,1,0,4,25,0,14:23,0,0,0,0,0,0
Adam Cracknell,RW,STL,1,1,0,1,-1,0,2,50,0,17:38,0,0,0,0,0,0
Jaden Schwartz,C,STL,1,1,0,1,0,0,6,16.7,0,0:00,0,0,0,0,0,0
Sebastian Wannstrom,RW,STL,1,1,0,1,1,0,2,50,0,12:28,0,0,0,0,0,0
Ondrej Palat,LW,TB,1,1,0,1,0,0,3,33.3,1,14:49,0,0,0,0,0,0
Richard Panik,RW,TB,1,1,0,1,1,0,1,100,0,15:04,1,0,0,0,0,0
Tom Pyatt,C,TB,1,1,0,1,-2,0,1,100,0,0:00,0,0,0,0,0,0
Steven Stamkos,C,TB,1,1,0,1,2,0,3,33.3,0,21:16,0,0,0,0,0,0
Troy Bodie,RW,TOR,1,1,0,1,0,0,3,33.3,0,0:00,0,0,0,0,0,0
Dave Bolland,C,TOR,2,1,0,1,1,0,5,20,1,16:33,0,0,0,0,0,0
Paul Ranger,D,TOR,2,1,0,1,2,2,3,33.3,1,18:19,0,0,0,0,0,0
Hunter Shinkaruk,C,VAN,2,1,0,1,0,0,3,33.3,0,34:02:00,0,0,0,0,0,0
John Carlson,D,WAS,1,1,0,1,2,0,4,25,0,28:16:00,1,0,0,0,0,0
Stanislav Galiev,RW,WAS,2,1,0,1,2,0,5,20,0,0:00,0,0,0,0,0,2
Jack Hillen,D,WAS,2,1,0,1,-2,0,4,25,0,0:00,0,0,0,0,0,0
Ryan Stoa,C,WAS,1,1,0,1,1,0,2,50,0,10:08,0,0,0,0,0,0
Joel Ward,RW,WAS,1,1,0,1,0,0,3,33.3,0,18:37,0,0,0,0,0,0
Casey Wellman,C,WAS,2,1,0,1,1,0,4,25,0,0:00,0,0,0,0,0,0
Tom Wilson,RW,WAS,2,1,0,1,-1,0,4,25,0,0:00,0,0,0,0,0,1
Michael Frolik,C,WPG,2,1,0,1,-2,0,6,16.7,0,39:25:00,1,0,0,0,0,0
Matt Halischuk,RW,WPG,2,1,0,1,1,0,3,33.3,0,29:32:00,0,0,0,0,0,0
Carl Klingberg,LW,WPG,1,1,0,1,1,0,1,100,0,11:34,0,0,0,0,0,0
Scott Kosmachuk,RW,WPG,1,1,0,1,0,0,4,25,0,0:00,0,0,0,0,0,0
Bryan Little,C,WPG,2,1,0,1,-1,0,6,16.7,0,39:46:00,0,0,0,0,0,0
Anthony Peluso,RW,WPG,3,1,0,1,-1,9,1,100,1,27:04:00,0,0,0,0,0,0
Nick Bonino,C,ANA,2,0,1,1,-3,0,5,0,0,37:57:00,0,1,0,0,0,0
Mark Fistric,D,ANA,2,0,1,1,-3,0,4,0,0,34:47:00,0,1,0,0,0,0
Peter Holland,C,ANA,2,0,1,1,-1,0,1,0,0,31:43:00,0,0,0,0,0,0
Patrick Maroon,LW,ANA,2,0,1,1,-2,0,7,0,0,24:50:00,0,1,0,0,0,0
Stefan Noesen,RW,ANA,2,0,1,1,2,0,4,0,0,21:23,0,0,0,0,0,0
Rickard Rakell,RW,ANA,2,0,1,1,-1,0,4,0,0,34:26:00,0,0,0,0,0,0
Shea Theodore,D,ANA,1,0,1,1,0,0,2,0,0,19:39,0,1,0,0,0,0
Chris Casto,D,BOS,1,0,1,1,0,0,2,0,0,0:00,0,0,0,0,0,0
Matt Lindblad,C,BOS,1,0,1,1,1,0,0,0,0,0:00,0,0,0,0,0,0
Bobby Robins,C,BOS,1,0,1,1,1,5,0,0,0,0:00,0,0,0,0,0,0
Reilly Smith,RW,BOS,1,0,1,1,1,0,1,0,0,0:00,0,0,0,0,0,1
Cody McCormick,C,BUF,1,0,1,1,1,24,1,0,0,5:22,0,0,0,0,0,0
Tyler Myers,D,BUF,2,0,1,1,2,2,2,0,0,45:36:00,0,0,0,0,0,0
Steve Ott,C,BUF,1,0,1,1,0,2,2,0,0,20:36,0,0,0,0,0,0
Kevin Porter,C,BUF,2,0,1,1,0,0,1,0,0,30:37:00,0,0,0,0,0,0
Mark Pysyk,D,BUF,2,0,1,1,4,0,4,0,0,40:49:00,0,0,0,0,0,0
Rasmus Ristolainen,D,BUF,2,0,1,1,-2,0,3,0,0,42:27:00,0,0,0,0,0,0
Corey Tropp,RW,BUF,2,0,1,1,2,0,1,0,0,31:42:00,0,0,0,0,0,0
Thomas Vanek,LW,BUF,2,0,1,1,1,0,1,0,0,35:19:00,0,0,0,0,0,0
Drayson Bowman,LW,CAR,1,0,1,1,1,0,1,0,0,17:00,0,0,0,0,0,0
Patrick Dwyer,RW,CAR,1,0,1,1,1,0,0,0,0,13:15,0,0,0,0,0,0
Kevin Westgarth,RW,CAR,1,0,1,1,0,2,0,0,0,8:28,0,0,0,0,0,0
Josh Anderson,RW,CLB,1,0,1,1,0,0,0,0,0,14:04,0,0,0,0,0,0
Michael Chaput,C,CLB,1,0,1,1,1,2,2,0,0,13:04,0,0,0,0,0,0
Cody Goloubef,D,CLB,2,0,1,1,0,8,0,0,0,36:34:00,0,0,0,0,0,0
David Savard,D,CLB,3,0,1,1,2,0,3,0,0,69:09:00,0,1,0,0,0,0
Jack Skille,RW,CLB,3,0,1,1,0,0,5,0,0,38:51:00,0,0,0,0,0,0
Chad Billins,D,CGY,1,0,1,1,-1,0,2,0,0,16:43,0,0,0,0,0,0
T.J. Brodie,D,CGY,3,0,1,1,0,2,5,0,0,0:00,0,0,0,0,0,0
Chris Butler,D,CGY,3,0,1,1,1,4,6,0,0,0:00,0,0,0,0,0,0
Ryan Culkin,D,CGY,2,0,1,1,0,2,0,0,0,0:00,0,0,0,0,0,0
Mark Cundari,D,CGY,2,0,1,1,1,0,2,0,0,0:00,0,0,0,1,0,0
Mark Giordano,D,CGY,2,0,1,1,0,0,1,0,0,20:40,0,0,0,0,0,0
Roman Horak,C,CGY,2,0,1,1,1,2,3,0,0,15:50,0,0,0,0,1,1
Jiri Hudler,LW,CGY,1,0,1,1,0,0,0,0,0,0:00,0,0,0,0,0,0
Tim Jackman,RW,CGY,2,0,1,1,1,4,3,0,0,15:37,0,0,0,0,0,0
Keegan Kanzig,D,CGY,1,0,1,1,0,0,0,0,0,0:00,0,0,0,0,0,0
Shane O'Brien,D,CGY,3,0,1,1,1,15,5,0,0,0:00,0,0,0,0,0,0
Kris Russell,D,CGY,2,0,1,1,1,0,2,0,0,20:16,0,0,0,0,0,0
Tyler Wotherspoon,D,CGY,2,0,1,1,2,2,1,0,0,0:00,0,0,0,0,0,0
Sheldon Brookbank,D,CHI,2,0,1,1,2,7,6,0,0,39:47:00,0,0,0,0,0,0
Ryan Hartman,RW,CHI,1,0,1,1,-1,0,1,0,0,9:25,0,0,0,0,0,0
Jimmy Hayes,RW,CHI,2,0,1,1,1,0,2,0,0,25:42:00,0,0,0,0,0,0
Marcus Kruger,C,CHI,2,0,1,1,1,2,3,0,0,26:47:00,0,0,0,0,0,0
Drew LeBlanc,C,CHI,2,0,1,1,1,0,1,0,0,29:00:00,0,0,0,0,0,1
Jeremy Morin,LW,CHI,1,0,1,1,1,0,1,0,0,12:21,0,0,0,0,0,0
Brent Seabrook,D,CHI,1,0,1,1,2,0,3,0,0,24:10:00,0,0,0,0,0,0
Gabriel Landeskog,LW,COL,1,0,1,1,1,2,7,0,0,17:58,0,0,0,0,0,0
Alex Tanguay,LW,COL,1,0,1,1,1,2,1,0,0,19:31,0,0,0,0,0,0
Luke Gazdic,LW,DAL,2,0,1,1,1,0,1,0,0,17:02,0,0,0,0,0,0
Sergei Gonchar,D,DAL,1,0,1,1,0,2,2,0,0,23:43,0,0,0,0,0,0
Shawn Horcoff,C,DAL,1,0,1,1,-1,0,0,0,0,18:14,0,1,0,0,0,0
Jamie Oleksiak,D,DAL,2,0,1,1,1,7,3,0,0,36:17:00,0,0,0,0,0,0
Ray Whitney,LW,DAL,1,0,1,1,1,0,2,0,0,16:12,0,0,0,0,0,0
Jonathan Ericsson,D,DET,2,0,1,1,0,2,2,0,0,52:06:00,0,0,0,0,0,0
Landon Ferraro,C,DET,1,0,1,1,1,0,1,0,0,11:51,0,0,0,0,0,0
Luke Glendening,F,DET,2,0,1,1,2,0,4,0,0,28:47:00,0,0,0,0,0,0
Niklas Kronwall,D,DET,2,0,1,1,-1,2,0,0,0,46:35:00,0,1,0,0,0,0
Brian Lashoff,D,DET,2,0,1,1,1,0,1,0,0,32:04:00,0,0,0,0,0,0
Gustav Nyquist,C,DET,2,0,1,1,1,0,3,0,0,28:41:00,0,0,0,0,0,0
Mikael Samuelsson,RW,DET,2,0,1,1,1,0,6,0,0,27:23:00,0,1,0,0,0,0
Mike Brown,RW,EDM,2,0,1,1,-1,0,1,0,0,11:20,0,0,0,0,0,0
Brandon Davidson,D,EDM,2,0,1,1,-2,2,1,0,0,15:57,0,0,0,0,0,0
Denis Grebeshkov,D,EDM,2,0,1,1,2,0,0,0,0,20:06,0,1,0,0,0,0
Ryan Hamilton,LW,EDM,2,0,1,1,-2,0,1,0,0,14:42,0,0,0,0,0,0
Ales Hemsky,RW,EDM,2,0,1,1,0,0,1,0,0,16:05,0,0,0,0,0,0
Ryan Martindale,C,EDM,2,0,1,1,1,0,1,0,0,9:49,0,0,0,0,0,0
David Musil,D,EDM,1,0,1,1,0,0,0,0,0,0:00,0,1,0,0,0,0
Darnell Nurse,D,EDM,2,0,1,1,0,0,1,0,0,22:58,0,0,0,0,0,0
Linus Omark,LW,EDM,2,0,1,1,1,4,1,0,0,15:38,0,0,0,0,0,1
Jeff Petry,D,EDM,2,0,1,1,0,2,1,0,0,24:05:00,0,1,0,0,0,0
Justin Schultz,D,EDM,2,0,1,1,1,0,1,0,0,23:56,0,0,0,0,0,0
Aleksander Barkov,C,FLA,2,0,1,1,-1,2,1,0,0,38:12:00,0,1,0,0,0,1
Brian Campbell,D,FLA,1,0,1,1,2,0,2,0,0,25:50:00,0,0,0,0,0,0
Marcel Goc,C,FLA,1,0,1,1,0,0,1,0,0,16:10,0,0,0,0,0,0
Scott Gomez,C,FLA,2,0,1,1,-1,2,5,0,0,26:28:00,0,0,0,0,0,0
Jon Matsumoto,C,FLA,1,0,1,1,0,0,1,0,0,12:13,0,1,0,0,0,0
Jed Ortmeyer,RW,FLA,1,0,1,1,1,0,0,0,0,11:16,0,0,0,0,0,0
Colby Robak,D,FLA,1,0,1,1,1,0,2,0,0,22:16,0,1,0,0,0,0
Mackenzie Weegar,D,FLA,1,0,1,1,-1,0,1,0,0,26:19:00,0,1,0,0,0,0
Garrett Wilson,LW,FLA,2,0,1,1,1,11,4,0,0,24:48:00,0,0,0,0,0,0
Jesse Winchester,C,FLA,2,0,1,1,0,2,4,0,0,26:55:00,0,0,0,0,0,0
Andy Andreoff,C,LA,1,0,1,1,2,0,2,0,0,10:50,0,0,0,0,0,0
Jake Muzzin,D,LA,2,0,1,1,2,2,3,0,0,44:10:00,0,0,0,0,0,0
Mike Richards,C,LA,2,0,1,1,1,0,2,0,0,32:06:00,0,0,0,0,0,0
Jeff Schultz,D,LA,2,0,1,1,4,2,2,0,0,45:10:00,0,0,0,0,0,0
Linden Vey,RW,LA,2,0,1,1,0,0,3,0,0,25:47:00,0,0,0,0,0,0
Kyle Brodziak,C,MIN,2,0,1,1,0,0,3,0,0,32:52:00,0,0,0,0,0,0
Erik Haula,LW,MIN,1,0,1,1,1,0,5,0,0,13:09,0,0,0,0,0,0
Dany Heatley,RW,MIN,1,0,1,1,0,2,1,0,0,17:40,0,0,0,0,0,0
Torrey Mitchell,C,MIN,2,0,1,1,1,0,5,0,0,28:19:00,0,0,0,0,0,0
Daniel Briere,C,MON,1,0,1,1,0,0,1,0,0,17:14,0,1,0,0,0,0
Louis Leblanc,C,MON,1,0,1,1,1,2,2,0,0,14:44,0,0,0,0,0,0
Peter Harrold,D,NJ,1,0,1,1,0,2,1,0,0,16:22,0,0,0,0,0,0
Adam Henrique,C,NJ,1,0,1,1,1,2,3,0,0,17:50,0,0,0,0,0,0
Michael Ryder,RW,NJ,1,0,1,1,0,0,3,0,0,20:55,0,0,0,0,0,0
Bryce Salvador,D,NJ,1,0,1,1,0,0,0,0,0,16:23,0,0,0,0,0,0
Alexander Urbom,D,NJ,1,0,1,1,1,0,0,0,0,21:55,0,0,0,0,0,0
Travis Zajac,C,NJ,2,0,1,1,-2,0,2,0,0,35:15:00,0,0,0,0,0,0
Taylor Beck,LW,NSH,2,0,1,1,0,0,3,0,0,31:28:00,0,0,0,0,0,0
Mike Fisher,C,NSH,2,0,1,1,0,2,4,0,0,34:56:00,0,0,0,0,0,0
Scott Ford,D,NSH,1,0,1,1,0,0,0,0,0,16:54,0,0,0,0,0,0
Paul Gaustad,C,NSH,1,0,1,1,1,4,2,0,0,14:58,0,0,0,0,0,0
Patric Hornqvist,RW,NSH,1,0,1,1,1,2,2,0,0,15:22,0,0,0,0,0,0
David Legwand,C,NSH,1,0,1,1,-1,0,2,0,0,21:20,0,0,0,0,0,0
Chris Bruton,RW,NYI,1,0,1,1,1,5,2,0,0,14:10,0,0,0,0,0,0
Cal Clutterbuck,RW,NYI,1,0,1,1,1,2,0,0,0,12:38,0,0,0,0,0,0
Matt Donovan,D,NYI,1,0,1,1,1,0,2,0,0,22:30,0,0,0,0,0,0
Colin McDonald,RW,NYI,1,0,1,1,-1,0,2,0,0,0:00,0,1,0,0,0,0
Brock Nelson,C,NYI,2,0,1,1,-1,2,0,0,0,16:07,0,1,0,0,0,0
John Persson,LW,NYI,1,0,1,1,1,0,2,0,0,13:38,0,0,0,0,0,0
Ryan Strome,C,NYI,2,0,1,1,-2,0,4,0,0,11:42,0,1,0,0,0,0
Lubomir Visnovsky,D,NYI,1,0,1,1,0,0,4,0,0,0:00,0,1,0,0,0,0
Conor Allen,D,NYR,1,0,1,1,2,0,0,0,0,20:27,0,0,0,0,0,0
Marek Hrivik,LW,NYR,1,0,1,1,1,0,1,0,0,15:15,0,0,0,0,0,0
Danny Kristo,RW,NYR,1,0,1,1,1,2,2,0,0,17:24,0,0,0,0,0,0
Dylan McIlrath,D,NYR,1,0,1,1,-1,0,1,0,0,11:31,0,0,0,0,0,0
Anton Stralman,D,NYR,1,0,1,1,2,0,4,0,0,25:34:00,0,0,0,0,0,0
Andrew Yogan,C,NYR,1,0,1,1,-1,0,2,0,0,10:29,0,0,0,0,0,0
Mats Zuccarello,RW,NYR,1,0,1,1,2,0,3,0,0,14:58,0,0,0,0,0,0
Stephane Da Costa,C,OTT,2,0,1,1,0,0,8,0,0,14:10,0,0,0,0,0,0
David Dziurzynski,LW,OTT,2,0,1,1,1,0,0,0,0,13:33,0,0,0,1,0,0
Mike Hoffman,LW,OTT,1,0,1,1,2,0,2,0,0,0:00,0,0,0,0,0,0
Jim O'Brien,C,OTT,2,0,1,1,0,2,3,0,0,13:32,0,0,0,0,0,0
Michael Sdao,D,OTT,2,0,1,1,2,19,2,0,0,16:49,0,0,0,0,0,0
Jason Spezza,C,OTT,2,0,1,1,1,0,5,0,0,38:25:00,0,1,0,0,0,0
Kyle Turris,C,OTT,1,0,1,1,2,0,3,0,0,0:00,0,0,0,0,0,0
Rob Bordson,C,PHI,2,0,1,1,1,0,1,0,0,11:14,0,0,0,0,0,0
Tyler Brown,LW,PHI,1,0,1,1,1,0,1,0,0,11:07,0,0,0,0,0,0
Erik Gustafsson,D,PHI,2,0,1,1,0,0,6,0,0,21:47,0,0,0,0,0,0
Samuel Morin,D,PHI,2,0,1,1,-1,4,3,0,0,45:36:00,0,1,0,0,0,0
Kris Newbury,C,PHI,2,0,1,1,1,9,1,0,0,17:47,0,0,0,0,0,0
Zac Rinaldo,C,PHI,1,0,1,1,0,0,2,0,0,0:00,0,0,0,0,0,0
Max Domi,C,PHO,1,0,1,1,1,0,0,0,0,19:07,0,0,0,1,0,0
Martin Hanzal,C,PHO,1,0,1,1,1,4,4,0,0,12:52,0,0,0,1,0,0
Brandon McMillan,C,PHO,1,0,1,1,0,0,1,0,0,11:34,0,0,0,1,0,0
Radim Vrbata,RW,PHO,1,0,1,1,0,0,1,0,0,12:18,0,1,0,0,0,0
Ethan Werek,C,PHO,1,0,1,1,-1,0,2,0,0,12:23,0,1,0,0,0,0
Beau Bennett,RW,PIT,2,0,1,1,1,0,3,0,0,34:33:00,0,0,0,0,1,1
Chris Conner,RW,PIT,1,0,1,1,0,0,1,0,0,10:49,0,0,0,0,0,0
Brian Dumoulin,D,PIT,1,0,1,1,1,0,0,0,0,18:42,0,1,0,0,0,0
Deryk Engelland,D,PIT,2,0,1,1,-2,4,3,0,0,34:53:00,0,0,0,0,0,0
Paul Martin,D,PIT,1,0,1,1,0,0,2,0,0,24:48:00,0,0,0,0,0,0
Matt Niskanen,D,PIT,2,0,1,1,-1,0,6,0,0,48:00:00,0,1,0,0,0,0
Scott Hannan,D,SJ,1,0,1,1,1,2,0,0,0,21:29,0,0,0,0,0,0
Tomas Hertl,C,SJ,1,0,1,1,0,2,4,0,0,18:35,0,0,0,0,0,0
Matt Irwin,D,SJ,1,0,1,1,0,0,2,0,0,22:20,0,1,0,0,0,0
Brodie Reid,RW,SJ,1,0,1,1,1,0,0,0,0,12:48,0,0,0,0,0,0
Keith Aucoin,C,STL,1,0,1,1,-1,0,1,0,0,14:00,0,0,0,0,0,0
Pat Cannone,C,STL,1,0,1,1,1,0,2,0,0,0:00,0,0,0,0,0,0
Taylor Chorney,D,STL,1,0,1,1,1,0,3,0,0,0:00,0,0,0,0,0,0
Ian Cole,D,STL,2,0,1,1,0,7,2,0,0,15:05,0,0,0,0,0,0
Jani Hakanpaa,D,STL,2,0,1,1,2,4,2,0,0,18:31,0,0,0,0,0,0
Christian Hanson,C,STL,1,0,1,1,2,0,2,0,0,0:00,0,0,0,0,0,0
Roman Polak,D,STL,1,0,1,1,-1,0,3,0,0,21:54,0,1,0,0,0,0
Ty Rattie,RW,STL,1,0,1,1,1,0,3,0,0,0:00,0,0,0,0,0,1
Mark Barberio,D,TB,1,0,1,1,0,2,0,0,0,0:00,0,1,0,0,0,0
Matt Carle,D,TB,1,0,1,1,0,0,4,0,0,0:00,0,0,0,0,0,0
Valtteri Filppula,C,TB,1,0,1,1,0,2,0,0,0,0:00,0,1,0,0,1,1
Nikita Kucherov,RW,TB,1,0,1,1,-1,2,0,0,0,11:45,0,1,0,0,0,0
Ryan Malone,LW,TB,1,0,1,1,2,0,3,0,0,17:22,0,0,0,0,0,0
Cedric Paquette,C,TB,1,0,1,1,0,0,1,0,0,0:00,0,1,0,0,0,0
Andrej Sustr,D,TB,1,0,1,1,0,0,2,0,0,20:37,0,0,0,0,0,0
Matt Taormina,D,TB,1,0,1,1,1,0,1,0,0,20:13,0,1,0,0,0,0
Luke Witkowski,D,TB,1,0,1,1,2,2,0,0,0,18:37,0,0,0,0,0,0
Spencer Abbott,RW,TOR,2,0,1,1,1,0,6,0,0,15:14,0,0,0,0,0,0
David Broll,LW,TOR,2,0,1,1,0,7,2,0,0,10:29,0,0,0,0,0,0
Mark Fraser,D,TOR,1,0,1,1,-1,0,0,0,0,22:40,0,0,0,0,0,0
Frederik Gauthier,C,TOR,1,0,1,1,0,0,0,0,0,0:00,0,0,0,0,0,0
Andrew MacWilliam,D,TOR,2,0,1,1,-1,4,2,0,0,20:02,0,0,0,0,0,0
Stuart Percy,D,TOR,1,0,1,1,0,0,3,0,0,22:12,0,1,0,0,0,0
Morgan Rielly,D,TOR,3,0,1,1,2,0,6,0,0,41:33:00,0,0,0,0,0,1
Trevor Smith,LW,TOR,1,0,1,1,1,0,2,0,0,18:13,0,0,0,0,0,0
Brandon DeFazio,LW,VAN,1,0,1,1,1,0,3,0,0,12:24,0,0,0,0,0,0
Mike Santorelli,C,VAN,1,0,1,1,1,0,0,0,0,13:30,0,0,0,0,0,0
Yannick Weber,D,VAN,1,0,1,1,1,0,1,0,0,24:15:00,0,0,0,0,0,0
Dale Weise,RW,VAN,1,0,1,1,0,4,2,0,0,11:50,0,0,0,0,0,0
Nicklas Backstrom,C,WAS,2,0,1,1,-2,0,2,0,0,0:00,0,1,0,0,0,2
Connor Carrick,D,WAS,1,0,1,1,1,2,1,0,0,0:00,0,0,0,0,0,0
Jason Chimera,LW,WAS,1,0,1,1,1,2,1,0,0,18:36,0,0,0,0,0,1
Marcus Johansson,C,WAS,2,0,1,1,-1,0,4,0,0,0:00,0,1,0,0,0,1
Steven Oleksy,D,WAS,2,0,1,1,1,0,0,0,0,0:00,0,0,0,0,0,1
Mathieu Perreault,C,WAS,1,0,1,1,-1,0,6,0,0,22:28,0,1,0,0,0,0
Cameron Schilling,D,WAS,1,0,1,1,2,0,0,0,0,0:00,0,0,0,0,0,0
Nate Schmidt,D,WAS,2,0,1,1,0,0,2,0,0,0:00,0,0,0,0,0,0
Andrew Ladd,LW,WPG,2,0,1,1,-1,0,3,0,0,39:24:00,0,0,0,0,0,0
Julian Melchiori,D,WPG,2,0,1,1,5,2,1,0,0,17:37,0,0,0,0,0,0
Eric O'Dell,C,WPG,2,0,1,1,1,2,2,0,0,29:51:00,0,0,0,0,0,0
Nicolas Petan,C,WPG,1,0,1,1,-1,0,1,0,0,0:00,0,0,0,0,0,1
Mark Scheifele,C,WPG,3,0,1,1,0,2,7,0,0,37:17:00,0,0,0,0,0,1
Jim Slater,C,WPG,2,0,1,1,1,2,3,0,0,13:02,0,0,0,0,0,0
Ivan Telegin,LW,WPG,2,0,1,1,0,0,0,0,0,18:06,0,0,0,0,0,0
Jacob Trouba,D,WPG,2,0,1,1,5,0,2,0,0,19:42,0,1,0,0,0,0
